Gnd/Ext,Name,J,N,Fnp
Ground,v=0_X,0.5,0,F1e
Ground,v=0_X,0.5,1,F2f
Ground,v=0_X,1.5,1,F1e
Ground,v=0_X,1.5,2,F2f
Ground,v=0_X,2.5,2,F1e
Ground,v=0_X,2.5,3,F2f
Ground,v=0_X,3.5,3,F1e
Ground,v=0_X,3.5,4,F2f
Ground,v=0_X,4.5,4,F1e
Ground,v=0_X,4.5,5,F2f
Ground,v=0_X,5.5,5,F1e
Ground,v=0_X,5.5,6,F2f
Ground,v=0_X,6.5,6,F1e
Ground,v=0_X,6.5,7,F2f
Ground,v=0_X,7.5,7,F1e
Ground,v=0_X,7.5,8,F2f
Ground,v=0_X,8.5,8,F1e
Ground,v=0_X,8.5,9,F2f
Ground,v=0_X,9.5,9,F1e
Ground,v=0_X,9.5,10,F2f
Ground,v=0_X,10.5,10,F1e
Ground,v=0_X,10.5,11,F2f
Ground,v=0_X,11.5,11,F1e
Ground,v=0_X,11.5,12,F2f
Ground,v=0_X,12.5,12,F1e
Ground,v=0_X,12.5,13,F2f
Ground,v=0_X,13.5,13,F1e
Ground,v=0_X,13.5,14,F2f
Ground,v=0_X,14.5,14,F1e
Ground,v=0_X,14.5,15,F2f
Ground,v=0_X,15.5,15,F1e
Ground,v=1_X,0.5,0,F1e
Ground,v=1_X,0.5,1,F2f
Ground,v=1_X,1.5,1,F1e
Ground,v=1_X,1.5,2,F2f
Ground,v=1_X,2.5,2,F1e
Ground,v=1_X,2.5,3,F2f
Ground,v=1_X,3.5,3,F1e
Ground,v=1_X,3.5,4,F2f
Ground,v=1_X,4.5,4,F1e
Ground,v=0_X,15.5,16,F2f
Ground,v=0_X,16.5,16,F1e
Ground,v=1_X,4.5,5,F2f
Ground,v=1_X,5.5,5,F1e
Ground,v=1_X,5.5,6,F2f
Ground,v=1_X,6.5,6,F1e
Ground,v=1_X,6.5,7,F2f
Ground,v=0_X,16.5,17,F2f
Ground,v=1_X,7.5,7,F1e
Ground,v=0_X,17.5,17,F1e
Ground,v=1_X,7.5,8,F2f
Ground,v=1_X,8.5,8,F1e
Ground,v=1_X,8.5,9,F2f
Ground,v=1_X,9.5,9,F1e
Ground,v=0_X,17.5,18,F2f
Ground,v=0_X,18.5,18,F1e
Ground,v=1_X,9.5,10,F2f
Ground,v=1_X,10.5,10,F1e
Ground,v=0_X,18.5,19,F2f
Ground,v=1_X,10.5,11,F2f
Ground,v=0_X,19.5,19,F1e
Ground,v=1_X,11.5,11,F1e
Ground,v=1_X,11.5,12,F2f
Ground,v=1_X,12.5,12,F1e
Ground,v=0_X,19.5,20,F2f
Ground,v=0_X,20.5,20,F1e
Ground,v=1_X,12.5,13,F2f
Ground,v=1_X,13.5,13,F1e
Ground,v=1_X,13.5,14,F2f
Ground,v=1_X,14.5,14,F1e
Ground,v=0_X,20.5,21,F2f
Ground,v=0_X,21.5,21,F1e
Ground,v=1_X,14.5,15,F2f
Ground,v=1_X,15.5,15,F1e
Ground,v=0_X,21.5,22,F2f
Ground,v=0_X,22.5,22,F1e
Ground,v=1_X,15.5,16,F2f
Ground,v=1_X,16.5,16,F1e
Ground,v=1_X,16.5,17,F2f
Ground,v=1_X,17.5,17,F1e
Ground,v=0_X,22.5,23,F2f
Ground,v=0_X,23.5,23,F1e
Ground,v=1_X,17.5,18,F2f
Ground,v=1_X,18.5,18,F1e
Ground,v=0_X,23.5,24,F2f
Ground,v=0_X,24.5,24,F1e
Ground,v=1_X,18.5,19,F2f
Ground,v=1_X,19.5,19,F1e
Ground,v=0_X,24.5,25,F2f
Ground,v=0_X,25.5,25,F1e
Ground,v=1_X,19.5,20,F2f
Ground,v=1_X,20.5,20,F1e
Ground,v=1_X,20.5,21,F2f
Ground,v=1_X,21.5,21,F1e
Ground,v=0_X,25.5,26,F2f
Ground,v=0_X,26.5,26,F1e
Ground,v=1_X,21.5,22,F2f
Ground,v=1_X,22.5,22,F1e
Ground,v=0_X,26.5,27,F2f
Ground,v=0_X,27.5,27,F1e
Ground,v=1_X,22.5,23,F2f
Ground,v=1_X,23.5,23,F1e
Ground,v=0_X,27.5,28,F2f
Ground,v=0_X,28.5,28,F1e
Ground,v=1_X,23.5,24,F2f
Ground,v=1_X,24.5,24,F1e
Ground,v=0_X,28.5,29,F2f
Ground,v=0_X,29.5,29,F1e
Ground,v=0_X,49.5,50,F2f
Ground,v=1_X,24.5,25,F2f
Ground,v=1_X,25.5,25,F1e
Ground,v=0_X,29.5,30,F2f
Ground,v=0_X,30.5,30,F1e
Ground,v=1_X,25.5,26,F2f
Ground,v=1_X,26.5,26,F1e
Ground,v=0_X,30.5,31,F2f
Ground,v=0_X,31.5,31,F1e
Ground,v=1_X,26.5,27,F2f
Ground,v=1_X,27.5,27,F1e
Ground,v=1_X,27.5,28,F2f
Ground,v=1_X,28.5,28,F1e
Ground,v=0_X,31.5,32,F2f
Ground,v=0_X,32.5,32,F1e
Ground,v=0_X,48.5,49,F2f
Ground,v=0_X,49.5,49,F1e
Ground,v=1_X,28.5,29,F2f
Ground,v=1_X,29.5,29,F1e
Ground,v=0_X,32.5,33,F2f
Ground,v=0_X,33.5,33,F1e
Ground,v=1_X,29.5,30,F2f
Ground,v=1_X,30.5,30,F1e
Ground,v=0_X,33.5,34,F2f
Ground,v=0_X,34.5,34,F1e
Ground,v=1_X,30.5,31,F2f
Ground,v=1_X,31.5,31,F1e
Ground,v=0_X,47.5,48,F2f
Ground,v=0_X,48.5,48,F1e
Ground,v=0_X,34.5,35,F2f
Ground,v=0_X,35.5,35,F1e
Ground,v=1_X,31.5,32,F2f
Ground,v=1_X,32.5,32,F1e
Ground,v=0_X,35.5,36,F2f
Ground,v=0_X,36.5,36,F1e
Ground,v=1_X,32.5,33,F2f
Ground,v=1_X,33.5,33,F1e
Ground,v=0_X,36.5,37,F2f
Ground,v=0_X,37.5,37,F1e
Ground,v=0_X,46.5,47,F2f
Ground,v=0_X,47.5,47,F1e
Ground,v=0_X,37.5,38,F2f
Ground,v=0_X,38.5,38,F1e
Ground,v=1_X,33.5,34,F2f
Ground,v=1_X,34.5,34,F1e
Ground,v=0_X,45.5,46,F2f
Ground,v=0_X,46.5,46,F1e
Ground,v=0_X,38.5,39,F2f
Ground,v=0_X,39.5,39,F1e
Ground,v=1_X,34.5,35,F2f
Ground,v=1_X,35.5,35,F1e
Ground,v=0_X,39.5,40,F2f
Ground,v=0_X,40.5,40,F1e
Ground,v=0_X,44.5,45,F2f
Ground,v=0_X,45.5,45,F1e
Ground,v=0_X,40.5,41,F2f
Ground,v=0_X,41.5,41,F1e
Ground,v=0_X,43.5,44,F2f
Ground,v=0_X,44.5,44,F1e
Ground,v=1_X,35.5,36,F2f
Ground,v=1_X,36.5,36,F1e
Ground,v=0_X,41.5,42,F2f
Ground,v=0_X,42.5,42,F1e
Ground,v=0_X,42.5,43,F2f
Ground,v=0_X,43.5,43,F1e
Ground,v=1_X,36.5,37,F2f
Ground,v=1_X,37.5,37,F1e
Ground,v=1_X,37.5,38,F2f
Ground,v=1_X,38.5,38,F1e
Ground,v=1_X,38.5,39,F2f
Ground,v=1_X,39.5,39,F1e
Ground,v=1_X,39.5,40,F2f
Ground,v=1_X,40.5,40,F1e
Ground,v=1_X,40.5,41,F2f
Ground,v=1_X,41.5,41,F1e
Ground,v=1_X,41.5,42,F2f
Ground,v=1_X,42.5,42,F1e
Ground,v=1_X,42.5,43,F2f
Ground,v=1_X,43.5,43,F1e
Ground,v=1_X,43.5,44,F2f
Ground,v=1_X,44.5,44,F1e
Ground,v=1_X,44.5,45,F2f
Ground,v=1_X,45.5,45,F1e
Ground,v=1_X,45.5,46,F2f
Ground,v=1_X,46.5,46,F1e
Ground,v=1_X,46.5,47,F2f
Ground,v=1_X,47.5,47,F1e
Ground,v=1_X,47.5,48,F2f
Ground,v=1_X,48.5,48,F1e
Ground,v=1_X,48.5,49,F2f
Ground,v=1_X,49.5,49,F1e
Ground,v=1_X,49.5,50,F2f
Excited,v=0_A,0.5,1,F1e
Excited,v=0_A,0.5,1,F1f
Excited,v=0_A,1.5,1,F1e
Excited,v=0_A,1.5,1,F1f
Excited,v=0_A,2.5,2,F1e
Excited,v=0_A,2.5,2,F1f
Excited,v=0_A,3.5,3,F1e
Excited,v=0_A,3.5,3,F1f
Excited,v=0_A,1.5,2,F2e
Excited,v=0_A,1.5,2,F2f
Excited,v=0_A,2.5,3,F2e
Excited,v=0_A,2.5,3,F2f
Excited,v=0_A,4.5,4,F1e
Excited,v=0_A,4.5,4,F1f
Excited,v=0_A,3.5,4,F2e
Excited,v=0_A,3.5,4,F2f
Excited,v=0_A,5.5,5,F1e
Excited,v=0_A,5.5,5,F1f
Excited,v=0_A,4.5,5,F2e
Excited,v=0_A,4.5,5,F2f
Excited,v=0_A,6.5,6,F1e
Excited,v=0_A,6.5,6,F1f
Excited,v=0_A,5.5,6,F2e
Excited,v=0_A,5.5,6,F2f
Excited,v=0_A,7.5,7,F1e
Excited,v=0_A,7.5,7,F1f
Excited,v=0_A,6.5,7,F2e
Excited,v=0_A,6.5,7,F2f
Excited,v=0_A,8.5,8,F1e
Excited,v=0_A,8.5,8,F1f
Excited,v=0_A,7.5,8,F2e
Excited,v=0_A,7.5,8,F2f
Excited,v=0_A,9.5,9,F1e
Excited,v=0_A,9.5,9,F1f
Excited,v=0_A,8.5,9,F2e
Excited,v=0_A,8.5,9,F2f
Excited,v=0_A,10.5,10,F1e
Excited,v=0_A,10.5,10,F1f
Excited,v=0_A,9.5,10,F2e
Excited,v=0_A,9.5,10,F2f
Excited,v=0_A,11.5,11,F1e
Excited,v=0_A,11.5,11,F1f
Excited,v=0_A,10.5,11,F2e
Excited,v=0_A,10.5,11,F2f
Excited,v=0_A,12.5,12,F1e
Excited,v=0_A,12.5,12,F1f
Excited,v=0_A,11.5,12,F2e
Excited,v=0_A,11.5,12,F2f
Excited,v=0_A,13.5,13,F1e
Excited,v=0_A,13.5,13,F1f
Excited,v=0_A,12.5,13,F2e
Excited,v=0_A,12.5,13,F2f
Excited,v=0_A,14.5,14,F1e
Excited,v=0_A,14.5,14,F1f
Excited,v=0_A,13.5,14,F2e
Excited,v=0_A,13.5,14,F2f
Excited,v=0_A,15.5,15,F1e
Excited,v=0_A,15.5,15,F1f
Excited,v=0_A,14.5,15,F2e
Excited,v=0_A,14.5,15,F2f
Excited,v=0_A,16.5,16,F1e
Excited,v=0_A,16.5,16,F1f
Excited,v=0_A,15.5,16,F2e
Excited,v=0_A,15.5,16,F2f
Excited,v=0_A,17.5,17,F1e
Excited,v=0_A,17.5,17,F1f
Excited,v=0_A,16.5,17,F2e
Excited,v=0_A,16.5,17,F2f
Excited,v=0_A,18.5,18,F1e
Excited,v=0_A,18.5,18,F1f
Excited,v=0_A,17.5,18,F2e
Excited,v=0_A,17.5,18,F2f
Excited,v=0_A,19.5,19,F1e
Excited,v=0_A,19.5,19,F1f
Excited,v=0_A,18.5,19,F2e
Excited,v=0_A,18.5,19,F2f
Excited,v=0_A,20.5,20,F1e
Excited,v=0_A,20.5,20,F1f
Excited,v=0_A,19.5,20,F2e
Excited,v=0_A,19.5,20,F2f
Excited,v=0_A,21.5,21,F1e
Excited,v=0_A,21.5,21,F1f
Excited,v=0_A,20.5,21,F2e
Excited,v=0_A,20.5,21,F2f
Excited,v=0_A,22.5,22,F1e
Excited,v=0_A,22.5,22,F1f
Excited,v=0_A,21.5,22,F2e
Excited,v=0_A,21.5,22,F2f
Excited,v=0_A,23.5,23,F1e
Excited,v=0_A,23.5,23,F1f
Excited,v=0_A,22.5,23,F2e
Excited,v=0_A,22.5,23,F2f
Excited,v=0_A,24.5,24,F1e
Excited,v=0_A,24.5,24,F1f
Excited,v=0_A,23.5,24,F2e
Excited,v=0_A,23.5,24,F2f
Excited,v=0_A,25.5,25,F1e
Excited,v=0_A,25.5,25,F1f
Excited,v=0_A,24.5,25,F2e
Excited,v=0_A,24.5,25,F2f
Excited,v=0_A,26.5,26,F1e
Excited,v=0_A,26.5,26,F1f
Excited,v=0_A,25.5,26,F2e
Excited,v=0_A,25.5,26,F2f
Excited,v=0_A,27.5,27,F1e
Excited,v=0_A,27.5,27,F1f
Excited,v=0_A,26.5,27,F2e
Excited,v=0_A,26.5,27,F2f
Excited,v=0_A,28.5,28,F1e
Excited,v=0_A,28.5,28,F1f
Excited,v=0_A,27.5,28,F2e
Excited,v=0_A,27.5,28,F2f
Excited,v=0_A,29.5,29,F1e
Excited,v=0_A,29.5,29,F1f
Excited,v=0_A,28.5,29,F2e
Excited,v=0_A,28.5,29,F2f
Excited,v=0_A,30.5,30,F1e
Excited,v=0_A,30.5,30,F1f
Excited,v=0_A,29.5,30,F2e
Excited,v=0_A,29.5,30,F2f
Excited,v=0_A,31.5,31,F1e
Excited,v=0_A,31.5,31,F1f
Excited,v=0_A,30.5,31,F2e
Excited,v=0_A,30.5,31,F2f
Excited,v=0_A,32.5,32,F1e
Excited,v=0_A,32.5,32,F1f
Excited,v=0_A,31.5,32,F2e
Excited,v=0_A,31.5,32,F2f
Excited,v=0_A,33.5,33,F1e
Excited,v=0_A,33.5,33,F1f
Excited,v=0_A,32.5,33,F2e
Excited,v=0_A,32.5,33,F2f
Excited,v=0_A,34.5,34,F1e
Excited,v=0_A,34.5,34,F1f
Excited,v=0_A,33.5,34,F2e
Excited,v=0_A,33.5,34,F2f
Excited,v=0_A,35.5,35,F1e
Excited,v=0_A,35.5,35,F1f
Excited,v=0_A,34.5,35,F2e
Excited,v=0_A,34.5,35,F2f
Excited,v=0_A,36.5,36,F1e
Excited,v=0_A,36.5,36,F1f
Excited,v=0_A,35.5,36,F2e
Excited,v=0_A,35.5,36,F2f
Excited,v=0_A,37.5,37,F1e
Excited,v=0_A,37.5,37,F1f
Excited,v=0_A,36.5,37,F2e
Excited,v=0_A,36.5,37,F2f
Excited,v=0_A,38.5,38,F1e
Excited,v=0_A,38.5,38,F1f
Excited,v=0_A,37.5,38,F2e
Excited,v=0_A,37.5,38,F2f
Excited,v=0_A,39.5,39,F1e
Excited,v=0_A,39.5,39,F1f
Excited,v=0_A,38.5,39,F2e
Excited,v=0_A,38.5,39,F2f
Excited,v=0_A,40.5,40,F1e
Excited,v=0_A,40.5,40,F1f
Excited,v=0_A,39.5,40,F2e
Excited,v=0_A,39.5,40,F2f
Excited,v=0_A,41.5,41,F1e
Excited,v=0_A,41.5,41,F1f
Excited,v=0_A,40.5,41,F2e
Excited,v=0_A,40.5,41,F2f
Excited,v=0_A,42.5,42,F1e
Excited,v=0_A,42.5,42,F1f
Excited,v=0_A,41.5,42,F2e
Excited,v=0_A,41.5,42,F2f
Excited,v=0_A,43.5,43,F1e
Excited,v=0_A,43.5,43,F1f
Excited,v=0_A,42.5,43,F2e
Excited,v=0_A,42.5,43,F2f
Excited,v=0_A,44.5,44,F1e
Excited,v=0_A,44.5,44,F1f
Excited,v=0_A,43.5,44,F2e
Excited,v=0_A,43.5,44,F2f
Excited,v=0_A,45.5,45,F1e
Excited,v=0_A,45.5,45,F1f
Excited,v=0_A,44.5,45,F2e
Excited,v=0_A,44.5,45,F2f
Excited,v=0_A,46.5,46,F1e
Excited,v=0_A,46.5,46,F1f
Excited,v=0_A,45.5,46,F2e
Excited,v=0_A,45.5,46,F2f
Excited,v=0_A,47.5,47,F1e
Excited,v=0_A,47.5,47,F1f
Excited,v=0_A,46.5,47,F2e
Excited,v=0_A,46.5,47,F2f
Excited,v=0_A,48.5,48,F1e
Excited,v=0_A,48.5,48,F1f
Excited,v=0_A,47.5,48,F2e
Excited,v=0_A,47.5,48,F2f
Excited,v=0_A,49.5,49,F1e
Excited,v=0_A,49.5,49,F1f
Excited,v=0_A,48.5,49,F2e
Excited,v=0_A,48.5,49,F2f
Excited,v=0_A,49.5,50,F2e
Excited,v=0_A,49.5,50,F2f
